ID,Set,Description,EC,pH,SP,MT,PT,ICP,IC,logSP,logMT,logPT,logICP,logIC
1,1,certified soil samples,0.12,7.09,251.34,3.33,9,3.2,3.61,2.4,0.52,0.95,0.51,0.56
2,1,certified soil samples,0.15,7.1,251.7,5.65,13,4.4,4.99,2.4,0.75,1.11,0.64,0.7
3,1,certified soil samples,0.35,8.03,284.66,2.73,8,2.96,3.11,2.45,0.44,0.9,0.47,0.49
4,1,certified soil samples,0.11,7.3,258.79,1.43,2,0.81,0.91,2.41,0.15,0.3,-0.09,-0.04
5,1,certified soil samples,0.5,7.57,268.36,13.38,41,15.3,15.16,2.43,1.13,1.61,1.18,1.18
6,1,certified soil samples,0.19,7.84,277.93,8.16,14,6.21,5.9,2.44,0.91,1.15,0.79,0.77
7,1,certified soil samples,0.12,7.26,257.37,3.36,9,3.99,3.71,2.41,0.53,0.95,0.6,0.57
8,1,certified soil samples,0.15,6.77,240,1.25,2,0.85,0.89,2.38,0.1,0.3,-0.07,-0.05
9,1,certified soil samples,0.42,7.95,281.83,4.88,14,5.73,5.32,2.45,0.69,1.15,0.76,0.73
10,1,certified soil samples,0.53,7.81,276.86,8.76,22,9.3,8.64,2.44,0.94,1.34,0.97,0.94
11,1,certified soil samples,0.2,7.71,273.32,2.36,4,1.97,1.9,2.44,0.37,0.6,0.29,0.28
12,1,certified soil samples,0.11,7.59,269.07,2.5,5,2.02,2.06,2.43,0.4,0.7,0.31,0.31
13,1,certified soil samples,0.21,7.49,265.52,3.88,5,2.68,2.56,2.42,0.59,0.7,0.43,0.41
14,1,certified soil samples,0.12,7.32,259.49,3.36,10,4.05,3.78,2.41,0.53,1,0.61,0.58
15,1,certified soil samples,0.32,8.01,283.95,11.93,38,14,13.5,2.45,1.08,1.58,1.15,1.13
16,1,certified soil samples,0.01,7.82,277.22,69.99,180,60.8,66.5,2.44,1.85,2.26,1.78,1.82
17,1,certified soil samples,0.16,7.12,252.4,1.4,2,0.96,1.1,2.4,0.15,0.3,-0.02,0.04
18,1,certified soil samples,0.12,7.08,250.99,3.45,10,4.13,3.89,2.4,0.54,1,0.62,0.59
19,1,certified soil samples,0.2,7.52,266.58,1.45,3,1.44,1.45,2.43,0.16,0.48,0.16,0.16
20,1,certified soil samples,0.45,7.05,249.92,4.66,11,5.23,4.83,2.4,0.67,1.04,0.72,0.68
21,1,certified soil samples,0.2,8.04,285.02,5.51,15,6.75,6.2,2.45,0.74,1.18,0.83,0.79
22,1,certified soil samples,0.1,6.04,214.12,2.33,4,1.67,1.71,2.33,0.37,0.6,0.22,0.23
23,1,certified soil samples,0.07,6.33,224.4,1.02,2,0.78,0.96,2.35,0.01,0.3,-0.11,-0.02
24,1,certified soil samples,0.58,7.69,272.61,7.96,24,9.28,8.76,2.44,0.9,1.38,0.97,0.94
25,1,certified soil samples,0.1,7.69,272.61,1.38,2,0.56,0.76,2.44,0.14,0.3,-0.25,-0.12
26,1,certified soil samples,0.11,7.45,264.1,1.36,4,1.44,1.51,2.42,0.13,0.6,0.16,0.18
27,1,certified soil samples,0.28,7.65,271.19,1.62,3,1.88,1.01,2.43,0.21,0.48,0.27,0.01
28,1,certified soil samples,0.15,7.93,281.12,1.36,4,1.81,1.31,2.45,0.13,0.6,0.26,0.12
29,1,certified soil samples,0.13,7.69,272.61,0.69,3,0.98,0.77,2.44,-0.16,0.48,-0.01,-0.11
30,1,certified soil samples,0.39,8.14,288.56,4.86,13,5.27,4.73,2.46,0.69,1.11,0.72,0.68
31,1,certified soil samples,0.16,8.2,290.69,1.05,2,0.74,0.68,2.46,0.02,0.3,-0.13,-0.17
32,1,certified soil samples,0.17,8.25,292.46,1.27,2,0.86,0.87,2.47,0.1,0.3,-0.06,-0.06
33,1,certified soil samples,0.07,6.79,240.71,1.03,2,0.85,0.9,2.38,0.01,0.3,-0.07,-0.04
34,1,certified soil samples,0.09,7.01,248.5,0.93,3,0.85,0.87,2.4,-0.03,0.48,-0.07,-0.06
35,1,certified soil samples,0.61,8.57,303.81,14.65,32,13.1,12.8,2.48,1.17,1.51,1.12,1.11
36,1,certified soil samples,0.07,6.89,244.25,1.02,2,0.77,0.92,2.39,0.01,0.3,-0.11,-0.04
37,1,certified soil samples,0.11,7.5,265.88,1.33,2,0.7,0.8,2.42,0.12,0.3,-0.15,-0.1
38,1,certified soil samples,0.08,7.21,255.59,0.37,1,0.27,0.5,2.41,-0.43,0,-0.56,-0.3
39,1,certified soil samples,0.08,5.23,185.4,0.62,2,0.46,0.67,2.27,-0.21,0.3,-0.33,-0.17
40,1,certified soil samples,0.08,5.68,201.36,1.4,2,0.33,0.56,2.3,0.15,0.3,-0.49,-0.26
41,1,certified soil samples,0.11,6.46,229.01,1.93,5,1.93,1.92,2.36,0.28,0.7,0.29,0.28
42,1,certified soil samples,0.16,7.81,276.86,2.26,6,2.43,2.48,2.44,0.35,0.78,0.39,0.39
43,1,certified soil samples,0.17,7.44,263.75,1.68,4,1.7,1.81,2.42,0.23,0.6,0.23,0.26
44,1,certified soil samples,0.29,8.04,285.02,1.45,2,0.64,0.87,2.45,0.16,0.3,-0.2,-0.06
45,1,certified soil samples,0.58,8.05,285.37,17.97,60,16.5,16.4,2.46,1.25,1.78,1.22,1.21
46,1,certified soil samples,0.29,8.01,283.95,1.19,2,0.57,0.86,2.45,0.08,0.3,-0.24,-0.06
47,1,certified soil samples,0.21,8.05,285.37,0.96,3,0.75,0.95,2.46,-0.02,0.48,-0.13,-0.02
48,1,certified soil samples,0.27,5.85,207.38,1.11,3,0.74,0.98,2.32,0.04,0.48,-0.13,-0.01
49,1,certified soil samples,0.19,7.04,249.57,1.98,7,2.36,2.41,2.4,0.3,0.85,0.37,0.38
50,1,certified soil samples,0.38,8.04,285.02,3.95,4,1.95,1.98,2.45,0.6,0.6,0.29,0.3
51,1,certified soil samples,0.16,6.55,232.2,1.21,3,0.54,0.86,2.37,0.08,0.48,-0.27,-0.07
52,1,certified soil samples,0.26,7.94,281.47,2.42,6,2.3,2.5,2.45,0.38,0.78,0.36,0.4
